MUNICÍPIO,FEMINICIDIO,HOMICIDIO DOLOSO,HOMICÍDIO DOLOSO COM INDÍCIO DE EXCLUDENTE DE ILICITUDE,HOMICÍDIO DOLOSO NO TRÂNSITO,HOMICÍDIO OCORRIDO EM PRESÍDIO,LESAO CORPORAL SEGUIDA DE MORTE,,ROUBO COM RESULTADO MORTE - (LATROCINIO),TENTATIVA DE HOMICIDIO,ESTUPRO
SALINAS DA MARGARIDA,0,1,0,0,0,0,0,2,1,
SALVADOR,9,792,13,0,3,12,11,161,338,
SANTA BARBARA,0,1,0,0,0,0,0,1,3,
SANTA BRIGIDA,1,1,0,0,0,0,0,4,4,
SANTA CRUZ CABRALIA,0,14,0,0,0,0,0,4,12,
SANTA CRUZ DA VITORIA,0,4,0,0,0,0,0,1,4,
SANTA INES,1,2,0,0,0,0,0,0,2,
SANTA LUZ,0,3,0,0,0,0,1,1,7,
SANTA LUZIA,0,9,0,0,0,0,0,0,0,
SANTA MARIA DA VITORIA,2,17,0,0,0,0,0,7,5,
SANTA RITA DE CASSIA,0,2,0,0,0,0,0,0,0,
SANTA TERESINHA,0,5,0,0,0,0,0,1,2,
SANTANA,1,1,0,0,0,0,0,3,0,
SANTANOPOLIS,0,2,0,0,0,0,0,1,0,
SANTO AMARO,1,25,0,0,0,0,0,14,7,
SANTO ANTONIO DE JESUS,1,44,1,0,0,1,0,15,13,
SANTO ESTEVAO,0,21,0,0,0,1,0,10,8,
SAO DESIDERIO,0,3,0,0,0,0,0,10,4,
SAO DOMINGOS,0,6,0,0,0,0,0,2,0,
SAO FELIPE,0,0,0,0,0,0,0,0,2,
SAO FELIX,0,2,0,0,0,0,0,0,0,
SAO FELIX DO CORIBE,0,4,1,0,0,0,0,0,1,
SAO FRANCISCO DO CONDE,0,13,0,0,0,0,0,9,2,
SAO GABRIEL,0,3,0,0,0,0,0,3,2,
SAO GONÇALO DOS CAMPOS,1,10,0,0,0,0,0,4,5,
SAO JOSE DA VITORIA,0,1,0,0,0,1,0,1,1,
SAO JOSE DO JACUIPE,0,4,0,0,0,0,0,0,0,
SAO MIGUEL DAS MATAS,0,2,0,0,0,0,0,0,2,
SAO SEBASTIAO DO PASSE,1,16,1,0,0,0,0,2,1,
SAPEAÇU,0,7,0,0,0,0,0,7,3,
SATIRO DIAS,0,5,0,0,0,0,0,0,0,
SAUBARA,0,7,0,0,0,0,0,6,1,
SAUDE,0,1,0,0,0,0,0,0,0,
SEABRA,0,2,0,0,0,0,1,2,7,
SEBASTIAO LARANJEIRAS,0,1,0,0,0,0,0,0,2,
SENHOR DO BONFIM,1,30,0,0,0,0,1,23,3,
SENTO SE,0,3,0,0,0,0,0,14,12,
SERRA DO RAMALHO,0,5,0,0,0,1,0,3,4,
SERRA DOURADA,0,2,0,0,0,0,0,0,4,
SERRA PRETA,0,5,0,0,0,0,0,4,4,
SERRINHA,1,23,0,0,2,1,0,11,11,
SERROLANDIA,0,5,0,0,0,1,0,0,0,
SIMÕES FILHO,1,76,0,0,0,1,4,4,5,
SITIO DO MATO,1,0,0,0,0,0,0,2,1,
SITIO DO QUINTO,1,3,0,0,0,0,0,4,0,
SOBRADINHO,1,8,0,0,0,0,0,8,6,
SOUTO SOARES,0,3,0,0,0,0,1,1,4,
TABOCAS DO BREJO VELHO,0,0,0,0,0,0,0,0,1,
TANHAÇU,0,0,0,0,0,0,0,0,3,
TANQUE NOVO,1,0,0,0,0,0,0,0,1,
TANQUINHO,0,8,0,0,0,0,0,7,1,
TAPEROA,0,7,0,0,0,0,1,0,2,
TAPIRAMUTA,1,3,0,0,0,0,0,1,3,
TEIXEIRA DE FREITAS,2,37,0,0,1,0,1,32,34,
TEODORO SAMPAIO,0,2,0,0,0,0,0,0,0,
TEOFILANDIA,0,1,0,0,0,0,0,1,3,
TEOLANDIA,0,5,0,0,0,0,0,0,0,
TERRA NOVA,0,4,0,0,0,0,0,5,1,
TREMEDAL,0,0,0,0,0,0,0,0,6,
TUCANO,0,9,0,0,0,0,1,4,8,
UAUA,0,3,0,0,0,0,0,5,6,
UBAIRA,0,1,0,0,0,0,0,3,4,
UBAITABA,0,6,0,0,0,0,0,3,1,
UBATA,1,6,0,0,0,0,0,7,7,
UIBAI,0,2,0,0,0,0,0,2,6,
UMBURANAS,0,1,0,0,0,0,0,1,1,
UNA,0,2,0,0,0,0,0,1,2,
URANDI,0,3,0,0,0,0,0,4,1,
URUÇUCA,0,12,0,0,0,1,1,3,3,
UTINGA,0,4,0,0,0,0,0,4,6,
VALENTE,0,5,0,2,0,0,0,2,1,
VALENÇA,0,34,0,0,0,0,2,12,10,
VARZEA DA ROÇA,0,10,1,0,0,0,0,2,0,
VARZEA DO POÇO,0,0,0,0,0,0,0,3,0,
VARZEA NOVA,0,3,0,0,0,0,0,2,4,
VARZEDO,0,1,0,0,0,0,0,0,1,
VERA CRUZ,0,28,0,0,0,0,1,1,0,
VEREDA,0,1,0,0,0,0,0,0,0,
VITORIA DA CONQUISTA,0,82,0,0,1,1,3,47,102,
WAGNER,0,4,0,0,0,0,0,3,1,
WANDERLEY,0,0,0,0,0,0,0,2,0,
WENCESLAU GUIMARAES,0,16,0,0,0,0,0,2,0,
XIQUE-XIQUE,0,10,1,0,0,0,0,3,2,
Total Geral,75,3.725,58,2,15,59,73,1.790,2.127,
